input,output
What is the maximum prison sentence for an attempt to commit murder within the special maritime and territorial jurisdiction of the United States?,The maximum prison sentence for an attempt to commit murder within the special maritime and territorial jurisdiction of the United States is twenty years.
What is the punishment for attempting to kill an officer or employee of the United States while they are engaged in or on account of the performance of official duties?,"According to the section, the punishment for attempting to kill an officer or employee of the United States while they are engaged in or on account of the performance of official duties is as provided under section 1113."
"What is the maximum sentence that can be imposed for someone who is found guilty of causing the death of another person through misconduct, negligence, or inattention to their duties on a steamboat or vessel?","The maximum sentence that can be imposed for someone who is found guilty of causing the death of another person through misconduct, negligence, or inattention to their duties on a steamboat or vessel is imprisonment not more than ten years."
"What is meant by ""internationally protected person"" in 18 USC 1116?","According to subsection (b)(4) of 18 USC 1116, an ""internationally protected person"" means:

(A) a Chief of State or the political equivalent, head of government, or Foreign Minister whenever such person is in a country other than his own and any member of his family accompanying him; or
(B) any other representative, officer, employee, or agent of the United States Government, a foreign government, or international organization who at the time and place concerned is entitled pursuant to international law to special protection against attack upon his person, freedom, or dignity, and any member of his family then forming part of his household."
What is the punishment for conspiracy to commit murder under 18 USC 1117?,Each person shall be punished by imprisonment for any term of years or for life.
What is the punishment for a person who commits murder while confined in a Federal correctional institution under a sentence for a term of life imprisonment?,The punishment for a person who commits murder while confined in a Federal correctional institution under a sentence for a term of life imprisonment is death or by life imprisonment.
"What is the definition of ""national of the United States"" under 18 USC 1119?","The definition of ""national of the United States"" under 18 USC 1119 is stated in section 101(a)(22) of the Immigration and Nationality Act (8 U.S.C. 1101(a)(22))."
"What is the minimum punishment for a person who, having escaped from a Federal correctional institution where they were confined under a sentence for a term of life imprisonment, kills another?",Punished as provided in sections 1111 and 1112.
"What is the minimum sentence term for someone who intentionally kills a State correctional officer while incarcerated, as stated in subsection (b)(1) of 18 USC 1121?",The minimum sentence term for someone who intentionally kills a State correctional officer while incarcerated is 20 years.
What is the penalty for a person convicted of knowingly donating or selling bodily fluids while testing positive for HIV?,"The penalty is a fine under this title of not less than $10,000, imprisoned for not less than 1 year nor more than 10 years, or both."
"What does the term ""Indian country"" mean under 18 USC 1151?","The term ""Indian country"", as used in this chapter, means (a) all land within the limits of any Indian reservation under the jurisdiction of the United States Government, notwithstanding the issuance of any patent, and, including rights-of-way running through the reservation, (b) all dependent Indian communities within the borders of the United States whether within the original or subsequently acquired territory thereof, and whether within or without the limits of a state, and (c) all Indian allotments, the Indian titles to which have not been extinguished, including rights-of-way running through the same."
What types of crimes committed in Indian country are governed by general laws of the United States?,"Except as otherwise expressly provided by law, the general laws of the United States governing the punishment of offenses committed in any place within the sole and exclusive jurisdiction of the United States, except the District of Columbia, shall extend to the Indian country."
"What types of offenses are subject to the same law and penalties as all other persons committing them within Indian country, according to 18 USC 1153?","According to 18 USC 1153, the following types of offenses are subject to the same law and penalties as all other persons committing them within Indian country:

1. Murder
2. Manslaughter
3. Kidnapping
4. Maiming
5. Felony under chapter 109A
6. Incest
7. Felony assault under section 113
8. Assault against an individual who has not attained the age of 16 years
9. Felony child abuse or neglect
10. Arson
11. Burglary
12. Robbery"
"What is the punishment for introducing ardent spirits into the Indian country without proper authority, under the first offense?","The punishment for introducing ardent spirits into the Indian country without proper authority, under the first offense, is to be fined under this title or imprisoned not more than one year, or both."
What is the maximum sentence an individual can receive for violating 18 USC 1155?,"The maximum sentence an individual can receive for violating 18 USC 1155 is imprisonment not more than five years, or both."
"What is the penalty for possessing intoxicating liquors in Indian country or where introduction is prohibited by treaty or an Act of Congress, when it is a first offense?","The penalty for possessing intoxicating liquors in Indian country or where introduction is prohibited by treaty or an Act of Congress, when it is a first offense, is to be fined under this title or imprisoned not more than one year, or both."
What is the punishment for an individual who knowingly makes any false statement for the purpose of obtaining the use of the Indian Arts and Crafts Board trade mark?,"For a first violation, the punishment is to be fined under this title or imprisoned not more than five years, or both. For subsequent violations, the punishment is to be fined not more than $1,000,000 or imprisoned not more than fifteen years, or both."
What is the maximum fine that can be imposed on an individual for a first violation of 18 USC 1159?,"The maximum fine that can be imposed on an individual for a first violation of 18 USC 1159 is $250,000."
Who is entitled to receive payment from the Treasury of the United States for property damaged in committing an offense within Indian country?,"Friendly Indians who are victims of non-Indian offenders, as long as they did not seek private revenge or attempt to obtain satisfaction by force or violence."
What areas are exempt from applying Indian liquor laws?,"According to the section, areas that are not Indian country are exempt from applying Indian liquor laws. Additionally, acts or transactions within any area of Indian country that conform both with state laws and a tribe's ordinance certified by the Secretary of the Interior and published in the Federal Register are also exempt."
What is the extent of jurisdiction that each state or territory has over offenses committed by or against Indians in Indian country?,Each state or territory shall have jurisdiction over offenses committed by or against Indians in Indian country to the same extent that such state or territory has jurisdiction over offenses committed elsewhere within the state or territory.
What are the possible penalties for someone who embezzles or steals property belonging to an Indian tribal organization?,"The possible penalties for someone who embezzles or steals property belonging to an Indian tribal organization are:

* Fined under this title, or imprisoned not more than five years, or both;
* If the value of such property does not exceed the sum of $1,000, he shall be fined under this title, or imprisoned not more than one year, or both."
"What is the maximum punishment for someone who willfully destroys, defaces, or removes an Indian reservation boundary sign?","The maximum punishment for someone who willfully destroys, defaces, or removes an Indian reservation boundary sign is imprisonment not more than six months, or both."
"What is the penalty for going onto Indian land without lawful authority or permission, if caught hunting, trapping, or fishing?","The penalty is a fine under this title or imprisonment not more than ninety days, or both, and all game, fish, and peltries in one's possession shall be forfeited."
"What is the extent to which State laws governing gambling apply in Indian country, according to 18 USC 1166?","According to 18 USC 1166, State laws governing gambling apply in Indian country ""in the same manner and to the same extent as such laws apply elsewhere in the State""."
"What is the maximum duration of imprisonment that can be imposed for the theft of gaming establishment property valued in excess of $1,000?","The maximum duration of imprisonment that can be imposed for the theft of gaming establishment property valued in excess of $1,000 is not more than ten years."
"What is the maximum fine for an individual who embezzles or takes property valued at $1,000 or less from a gaming establishment operated by an Indian tribe?","The maximum fine for an individual who embezzles or takes property valued at $1,000 or less from a gaming establishment operated by an Indian tribe is $250,000."
"What is considered ""abuse"" according to this section of 18 USC 1169?","According to subsection (c)(1), ""abuse"" includes any case in which:

* a child is dead or exhibits evidence of skin bruising, bleeding, malnutrition, failure to thrive, burns, fracture of any bone, subdural hematoma, soft tissue swelling, and such condition is not justifiably explained or may not be the product of an accidental occurrence; and
* any case in which a child is subjected to sexual assault, sexual molestation, sexual exploitation, sexual contact, or prostitution."
What is the maximum sentence for a person who violates subsection (a) of 18 USC 1170?,"The maximum sentence for a person who violates subsection (a) of 18 USC 1170 is imprisonment not more than 1 year and 1 day, or both. However, in the case of a second or subsequent violation, it is imprisonment not more than 10 years, or both."
What is the minimum sentence required for an offender who has attained the age of 18 years but kidnaps a victim under the age of 18?,The minimum sentence required for such an offender is imprisonment for not less than 20 years.
"What is the maximum sentence that can be imposed on someone who receives, possesses, or disposes of ransom money knowing it was delivered as such?","The maximum sentence that can be imposed on someone who receives, possesses, or disposes of ransom money knowing it was delivered as such is imprisonment not more than 10 years, or fined under this title, or both."
What is the maximum punishment for someone who seizes or detains another person to compel a governmental organization to do or abstain from doing an act?,"The maximum punishment for someone who seizes or detains another person to compel a governmental organization to do or abstain from doing an act is by imprisonment for any term of years or for life and, if the death of any person results, shall be punished by death or life imprisonment."
What is considered an affirmative defense under 18 USC 1204: International parental kidnapping?,"According to 18 USC 1204, an affirmative defense under this section includes:

1. The defendant acted within the provisions of a valid court order granting the defendant legal custody or visitation rights and that order was obtained pursuant to the Uniform Child Custody Jurisdiction Act or the Uniform Child Custody Jurisdiction and Enforcement Act and was in effect at the time of the offense.
2. The defendant was fleeing an incidence or pattern of domestic violence.
3. The defendant had physical custody of the child pursuant to a court order granting legal custody or visitation rights and failed to return the child as a result of circumstances beyond the defendant's control, and the defendant notified or made reasonable attempts to notify the other parent or lawful custodian of the child of such circumstances within 24 hours after the visitation period had expired and returned the child as soon as possible."
"What is considered a violation of 18 USC 1231, making someone liable for punishment?","Whoever willfully transports in interstate or foreign commerce any person who is employed or is to be employed for the purpose of obstructing or interfering by force or threats with (1) peaceful picketing by employees during any labor controversy affecting wages, hours, or conditions of labor, or (2) the exercise by employees of any of the rights of self-organization or collective bargaining; or Whoever is knowingly transported or travels in interstate or foreign commerce for any of the purposes enumerated in this section-"
What is the responsibility of the Attorney General regarding the enforcement of the provisions of this chapter?,"The responsibility of the Attorney General regarding the enforcement of the provisions of this chapter is to ""enforce the provisions of this chapter""."
"What is the penalty for someone who imports, brings, or transports intoxicating liquor into a State where all sales of such liquor are prohibited, except for certain purposes?","The penalty for someone who imports, brings, or transports intoxicating liquor into a State where all sales of such liquor are prohibited, except for certain purposes is to be fined under this title or imprisoned not more than one year, or both."
What is required to accompany a shipment of fermented liquor into the United States?,"A copy of a bill of lading, or other document showing the name of the consignee, the nature of its contents, and the quantity contained therein."
What is the maximum imprisonment sentence for an officer or employee of a railroad company who knowingly delivers a consigned liquor to someone other than the bona fide recipient?,"The maximum imprisonment sentence is ""not more than one year""."
What actions are prohibited by a railroad or express company when transporting liquor into a state that prohibits its sale or delivery?,"According to the section, a railroad or express company is prohibited from:

* Collecting the purchase price or any part thereof before, on, or after delivery
* Acting as an agent of the buyer or seller for the purpose of buying or selling or completing the sale of the liquor"
What is prohibited by 18 USC 1301?,"The prohibition of 18 USC 1301 is importing or transporting lottery tickets, papers, certificates, instruments, advertisements, or lists for the purpose of disposing of them or carrying them in interstate or foreign commerce."
What type of material is prohibited from being sent through the mail according to 18 USC 1302?,"According to 18 USC 1302, the types of materials prohibited from being sent through the mail are:

* Letters, packages, postal cards, or circulars concerning any lottery, gift enterprise, or similar scheme offering prizes dependent in whole or in part upon lot or chance
* Lottery tickets or parts thereof, or papers, certificates, or instruments purporting to be or represent a ticket, chance, share, or interest in or dependent upon the event of a lottery, gift enterprise, or similar scheme
* Checks, drafts, bills, money, postal notes, or money orders for the purchase of any ticket or part thereof, or of any share or chance in any such lottery, gift enterprise, or scheme
* Newspapers, circulars, pamphlets, or publications containing any advertisement of any lottery, gift enterprise, or scheme offering prizes dependent in whole or in part upon lot or chance, or containing any list of the prizes drawn or awarded by means of any such lottery, gift enterprise, or scheme."
What is considered an illegal action by an officer or employee of the Postal Service according to 18 USC 1303?,"According to 18 USC 1303, an illegal action by an officer or employee of the Postal Service is acting as agent for any lottery office, vending lottery tickets, knowingly sending by mail or delivering letters, packages, postal cards, circulars, pamphlets, or other materials advertising lotteries, gift enterprises, or similar schemes."
What is prohibited from being broadcasted by means of any radio or television station?,"Advertisements of or information concerning any lottery, gift enterprise, or similar scheme, offering prizes dependent in whole or in part upon lot or chance, or any list of the prizes drawn or awarded by means of any such lottery, gift enterprise, or scheme."
What type of events are exempt from the provisions of 18 USC 1305: Fishing contests?,"Fishing contests that are not conducted for profit and wherein prizes are awarded for the specie, size, weight, or quality of fish caught by contestants in any bona fide fishing or recreational event."
What is the penalty for knowingly violating certain financial institution laws?,"The penalty for knowingly violating certain financial institution laws is to be fined under this title or imprisoned not more than one year, or both."
"What types of organizations are excluded from the provisions of sections 1301, 1302, 1303, and 1304 under subsection (a)(2) of this section?","According to subsection (a)(2), organizations that are exempt from the provisions of sections 1301, 1302, 1303, and 1304 are:

* Not-for-profit organizations
* Governmental organizations"
What is the sole consideration required for a chance of winning designated prizes in a savings promotion raffle?,The sole consideration required for a chance of winning designated prizes in a savings promotion raffle is obtained by the deposit of a specified amount of money in a savings account or other savings program.
What is the maximum sentence that can be imposed on an individual who violates 18 USC 1341?,"The maximum sentence that can be imposed on an individual who violates 18 USC 1341 is imprisonment for not more than 30 years, or fined not more than $1,000,000."
"What is the maximum penalty for an individual who uses a fictitious name or address to conduct, promote, or carry out an unlawful business through the Postal Service?","The maximum penalty is imprisonment not more than five years, or both."
"What is the maximum fine that can be imposed if the violation of 18 USC 1343 occurs in relation to a presidentially declared major disaster or emergency, and affects a financial institution?","The maximum fine that can be imposed is $1,000,000."
What is the maximum fine that can be imposed for committing bank fraud under 18 USC 1344?,"The maximum fine that can be imposed for committing bank fraud under 18 USC 1344 is $1,000,000."
Under what circumstances can the Attorney General commence a civil action to enjoin a violation under 18 USC 1345?,"The Attorney General can commence a civil action to enjoin a violation under 18 USC 1345 if:

* A person is violating or about to violate this chapter or section 287, 371 (insofar as such violation involves a conspiracy to defraud the United States or any agency thereof), or 1001 of this title; or
* A person is committing or about to commit a banking law violation (as defined in section 3322(d) of this title); or
* A person is committing or about to commit a Federal health care offense."
"What is included in the definition of ""scheme or artifice to defraud"" according to 18 USC 1346?","According to 18 USC 1346, the term ""scheme or artifice to defraud"" includes a scheme or artifice to deprive another of the intangible right of honest services."
What is the maximum sentence that can be imposed if the health care fraud violation results in death?,"The person shall be fined under this title, or imprisoned for any term of years or for life, or both."
"What is the maximum sentence for someone who knowingly executes a scheme to defraud in connection with commodities, securities, or options?",25 years of imprisonment.
What are the penalties for attempting to commit an offense under this chapter?,"The penalties for attempting to commit an offense under this chapter are the same as those prescribed for the offense, the commission of which was the object of the attempt."
What are the criminal penalties for an officer who knowingly certifies a periodic report that does not comply with all requirements set forth in this section?,"The criminal penalty is to be fined not more than $1,000,000 or imprisoned not more than 10 years, or both."
"What is the maximum punishment for an individual found guilty of knowingly and with intent to defraud, recruiting or hiring a person outside the United States for employment in the United States?","The maximum punishment for an individual found guilty of knowingly and with intent to defraud, recruiting or hiring a person outside the United States for employment in the United States is imprisonment for not more than 5 years, or both."
"What is considered an ""offense"" under 18 USC 1352?","It shall be unlawful for any foreign official or person selected to be a foreign official to corruptly demand, seek, receive, accept, or agree to receive or accept, directly or indirectly, anything of value personally or for any other person or nongovernmental entity, by making use of the mails or any means or instrumentality of interstate commerce."
What is the maximum term of imprisonment that can be imposed for injuring or committing depredation against property of the United States?,The maximum term of imprisonment that can be imposed for injuring or committing depredation against property of the United States is 10 years.
What is the maximum sentence that can be imposed for an individual found guilty of willfully or maliciously injuring or destroying any means of communication operated or controlled by the United States?,The maximum sentence that can be imposed for an individual found guilty of willfully or maliciously injuring or destroying any means of communication operated or controlled by the United States is imprisonment not more than ten years.
"What is the maximum imprisonment period for someone who willfully and maliciously destroys or injures any structure, conveyance, or other real or personal property within special maritime and territorial jurisdiction of the United States?","The maximum imprisonment period for someone who willfully and maliciously destroys or injures any structure, conveyance, or other real or personal property within special maritime and territorial jurisdiction of the United States is not more than five years."
"What is the maximum sentence that can be imposed upon an individual who injures or destroys articles in foreign commerce with intent to prevent, interfere with, or obstruct their exportation?","The maximum sentence that can be imposed is ""not more than twenty years""."
"What is considered ""serious bodily injury"" under 18 USC 1365?","According to subsection (h)(3) of 18 USC 1365, ""serious bodily injury"" means:

(A) a substantial risk of death;
(B) extreme physical pain;
(C) protracted and obvious disfigurement; or
(D) protracted loss or impairment of the function of a bodily member, organ, or mental faculty."
"What is the maximum sentence that can be imposed upon someone who is convicted of damaging an energy facility in an amount exceeding $100,000?","The maximum sentence that can be imposed upon someone who is convicted of damaging an energy facility in an amount exceeding $100,000 is imprisonment for not more than 20 years."
What is the maximum sentence for someone who intentionally or maliciously interferes with the authorized operation of a communications or weather satellite without the authority of the satellite operator?,The maximum sentence for someone who intentionally or maliciously interferes with the authorized operation of a communications or weather satellite without the authority of the satellite operator is imprisonment not more than 10 years.
What is the maximum term of imprisonment if an offense permanently disables or disfigures a police animal?,The maximum term of imprisonment is 10 years.
What are the possible penalties for someone who willfully injures or destroys a veterans' memorial under 18 USC 1369?,"The possible penalties for someone who willfully injures or destroys a veterans' memorial under 18 USC 1369 are:

* Fined under this title
* Imprisoned not more than 10 years
* Both"
What is the maximum term of imprisonment for an individual who is found guilty of enticing desertion from the Armed Forces of the United States?,Not more than three years.
"What is the penalty for entering a military, naval, or Coast Guard property in a manner prohibited by law or regulation?","The penalty for entering a military, naval, or Coast Guard property in a manner prohibited by law or regulation is being fined under this title or imprisoned not more than six months, or both."
What is the maximum penalty for engaging in prostitution or aiding/abetting prostitution near military and naval establishments?,"The maximum penalty for engaging in prostitution or aiding/abetting prostitution near military and naval establishments is being fined under this title or imprisoned not more than one year, or both."
"What is the maximum punishment for someone who willfully uses any part of the Army, Navy, Marine Corps, Air Force, or Space Force to execute the laws without constitutional or congressional authorization?","The maximum punishment for someone who willfully uses any part of the Army, Navy, Marine Corps, Air Force, or Space Force to execute the laws without constitutional or congressional authorization is imprisonment not more than two years, or both."
What is the maximum sentence for someone who commits an offense under subsection (a) of 18 USC 1386?,"According to the section, whoever commits an offense under subsection (a) shall be fined under this title or imprisoned not more than 10 years, or both. Therefore, the maximum sentence is 10 years imprisonment."
What are the consequences of violating section 2413 of title 38?,"Whoever violates section 2413 of title 38 shall be fined under this title, imprisoned for not more than one year, or both."
What is the maximum penalty that can be imposed upon an individual who violates subsection (a) of 18 USC 1388?,"The maximum penalty that can be imposed upon an individual who violates subsection (a) is imprisonment for not more than 1 year, or both."
"What is the minimum fine amount for an individual who commits a simple assault on a United States serviceman, resulting in property damage of more than $500?","According to the section, the minimum fine amount for an individual who commits a simple assault on a United States serviceman, resulting in property damage of more than $500, is $1,000."
"What is the penalty for a clerk or assistant clerk who willfully neglects to render true accounts of moneys received in a proceeding relating to citizenship, naturalization, or registration of aliens?","The penalty is a fine under this title or imprisoned not more than five years, or both."
What is the penalty for demanding or receiving fees in naturalization proceedings that exceed those authorized by law?,"The penalty for demanding or receiving fees in naturalization proceedings that exceed those authorized by law is to be fined under this title or imprisoned not more than five years, or both."
"What is the maximum imprisonment period for someone who knowingly uses an unlawful order, certificate, or judgment showing a person to be naturalized or admitted as a citizen?",The maximum imprisonment period is not more than five years.
What is the maximum punishment for someone who knowingly personates another or uses another person's naturalization documents in a citizenship proceeding?,"The maximum punishment for someone who knowingly personates another or uses another person's naturalization documents in a citizenship proceeding is imprisonment not more than five years, or both."
"Whoever knowingly procures or attempts to procure, contrary to law, the naturalization of any person, or documentary or other evidence of naturalization or of citizenship; shall be fined under this title or imprisoned for how many years?",10 years.
What is the maximum prison sentence for someone found guilty of reproducing false naturalization or citizenship papers?,"The maximum prison sentence for someone found guilty of reproducing false naturalization or citizenship papers is 25 years, if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title). For other offenses, the maximum sentence is 10-15 years."
"What is the maximum prison sentence for someone who sells or disposes of a declaration of intention to become a citizen, certificate of naturalization, or certificate of citizenship?",25 years.
What happens to someone who fails to surrender a canceled naturalization certificate after receiving at least 60 days' notice?,"The person will be fined under this title or imprisoned not more than five years, or both."
What is the maximum length of imprisonment for someone who neglects or refuses to appear at a naturalization hearing?,The maximum length of imprisonment for someone who neglects or refuses to appear at a naturalization hearing is not more than five years.
What is the maximum term of imprisonment for an individual who knowingly sells or possesses with intent to sell an obscene visual depiction in violation of this section?,The maximum term of imprisonment is 2 years.
What is declared by this section to be nonmailable matter?,"According to the section, every article, matter, thing, device, or substance that is:

* Obscene, lewd, lascivious, indecent, filthy, or vile
* Designed, adapted, or intended for producing abortion or for any indecent or immoral use
* Advertised or described in a manner calculated to lead another to use or apply it for producing abortion or for any indecent or immoral purpose
* Giving information, directly or indirectly, on where, how, or from whom any of the mentioned matters, articles, or things may be obtained or made, or where or by whom any act or operation of any kind for the procuring or producing of abortion will be done or performed, or how or by what means abortion may be produced
* A paper, writing, advertisement, or representation that an article, instrument, substance, drug, medicine, or thing may or can be used or applied for producing abortion or for any indecent or immoral purpose
* A description calculated to induce or incite a person to so use or apply any such article, instrument, substance, drug, medicine, or thing

Is declared to be nonmailable matter and shall not be conveyed in the mails or delivered from any post office or by any letter carrier."
What is prohibited from being brought into the United States or transported through interstate or foreign commerce under 18 USC 1462?,"According to 18 USC 1462, the following are prohibited from being brought into the United States or transported through interstate or foreign commerce:

* Any obscene, lewd, lascivious, or filthy book, pamphlet, picture, motion-picture film, paper, letter, writing, print, or other matter of indecent character.
* Any obscene, lewd, lascivious, or filthy phonograph recording, electrical transcription, or other article or thing capable of producing sound.
* Any drug, medicine, article, or thing designed, adapted, or intended for producing abortion, or for any indecent or immoral use.
* Any written or printed card, letter, circular, book, pamphlet, advertisement, or notice giving information about how to obtain or make the above-mentioned articles, matters, or things."
What is considered nonmailable matter according to 18 USC 1463?,"According to 18 USC 1463, all matter otherwise mailable by law, upon the envelope or outside cover or wrapper of which, and all postal cards upon which, any delineations, epithets, terms, or language of an indecent, lewd, lascivious, or obscene character are written or printed or otherwise impressed or apparent, is considered nonmailable matter."
What is the maximum term of imprisonment for an individual who utters obscene language by means of radio communication?,The maximum term of imprisonment for an individual who utters obscene language by means of radio communication is two years.
"What is the maximum penalty that can be imposed for knowingly producing, transporting, distributing, or transmitting obscene matters in interstate or foreign commerce?","The maximum penalty that can be imposed for knowingly producing, transporting, distributing, or transmitting obscene matters in interstate or foreign commerce is imprisonment not more than five years."
"What constitutes being ""engaged in the business"" of producing, selling, or transferring obscene matter under 18 USC 1466?","According to the section, a person is considered ""engaged in the business"" if they devote time, attention, or labor to such activities as a regular course of trade or business with the objective of earning a profit. It does not require that the person make a profit or that the activity be their sole or principal business or source of income."
"What are the circumstances in which a person may be subject to penalties for knowingly producing, distributing, receiving, or possessing with intent to distribute a visual depiction that depicts a minor engaging in sexually explicit conduct?","According to the section's description, the circumstances in which a person may be subject to penalties for knowingly producing, distributing, receiving, or possessing with intent to distribute a visual depiction that depicts a minor engaging in sexually explicit conduct are:

(1) any communication involved in or made in furtherance of the offense is communicated or transported by the mail, or in interstate or foreign commerce by any means, including by computer, or any means or instrumentality of interstate or foreign commerce is otherwise used in committing or in furtherance of the commission of the offense;
(2) any communication involved in or made in furtherance of the offense contemplates the transmission or transportation of a visual depiction by the mail, or in interstate or foreign commerce by any means, including by computer;
(3) any person travels or is transported in interstate or foreign commerce in the course of the commission or in furtherance of the commission of the offense;
(4) any visual depiction involved in the offense has been mailed, or has been shipped or transported in interstate or foreign commerce by any means, including by computer, or was produced using materials that have been mailed, or that have been shipped or transported in interstate or foreign commerce by any means, including by computer; or
(5) the offense is committed in the special maritime and territorial jurisdiction of the United States or in any territory or possession of the United States."
What type of property must be forfeited to the United States if a person is convicted of an offense involving obscene material under this chapter?,"According to the section, a person who is convicted of an offense involving obscene material under this chapter must forfeit their interest in:

* Any obscene material produced, transported, mailed, shipped, or received in violation of this chapter.
* Any property, real or personal, constituting or traceable to gross profits or other proceeds obtained from such offense.
* Any property, real or personal, used or intended to be used to commit or to promote the commission of such offense."
What is the maximum punishment for someone who knowingly utters any obscene language or distributes any obscene matter by means of cable television or subscription services on television?,"The maximum punishment is imprisonment for not more than 2 years or by a fine in accordance with this title, or both."
"What is the effect of proof showing that an item was produced in one state and then located in another state, when it is used to prove that the item was transported in interstate commerce?","According to Section 1469(a), such proof raises a rebuttable presumption that the item was transported in interstate commerce."
"What is the maximum prison sentence for an individual who knowingly transfers obscene matter to someone under 16 years old using the mail, facility, or means of interstate or foreign commerce?","The maximum prison sentence for an individual who knowingly transfers obscene matter to someone under 16 years old using the mail, facility, or means of interstate or foreign commerce is not more than 10 years."
What is the maximum length of imprisonment for violating 18 USC 1501?,The maximum length of imprisonment for violating 18 USC 1501 is one year.
What is the maximum punishment for knowingly and willfully obstructing an extradition agent of the United States in the execution of their duties?,"The maximum punishment for knowingly and willfully obstructing an extradition agent of the United States in the execution of their duties is imprisonment not more than one year, or both."
"What is the maximum term of imprisonment that may be imposed for an offense under 18 USC 1503 if the act involves the threat of physical force or physical force, and the crime was committed in connection with a trial of a criminal case?",The maximum term of imprisonment that may be imposed for an offense under 18 USC 1503 is the higher of that otherwise provided by law or the maximum term that could have been imposed for any offense charged in such case.
What is the maximum sentence that can be imposed for attempting to influence a juror by writing?,"The maximum sentence that can be imposed for attempting to influence a juror by writing is imprisonment not more than six months, or both."
What is the maximum length of imprisonment for an individual who corruptly influences or impedes the due and proper administration of the law before a department or agency of the United States?,The maximum length of imprisonment for an individual who corruptly influences or impedes the due and proper administration of the law before a department or agency of the United States is 5 years.
"What is the punishment for someone who feloniously steals, takes away, alters, falsifies, or otherwise avoids any record, writ, process, or other proceeding in a court of the United States?","The punishment is to be fined under this title or imprisoned not more than five years, or both."
What is the maximum sentence that can be imposed upon someone who violates 18 USC 1507?,The maximum sentence that can be imposed upon someone who violates 18 USC 1507 is imprisonment not more than one year.
"What constitutes a violation of 18 USC 1508, the recording, listening to, or observing proceedings of grand or petit juries while deliberating or voting?","A violation of 18 USC 1508 occurs when someone knowingly and willfully records, attempts to record, listens to, observes, or attempts to listen to or observe the proceedings of a grand or petit jury in any court of the United States while such jury is deliberating or voting."
What constitutes an obstruction of court orders under 18 USC 1509?,"Whoever, by threats or force, willfully prevents, obstructs, impedes, or interferes with, or willfully attempts to prevent, obstruct, impede, or interfere with, the due exercise of rights or the performance of duties under any order, judgment, or decree of a court of the United States."
"What are the consequences if someone willfully endeavors by means of bribery to obstruct, delay, or prevent the communication of information relating to a violation of any criminal statute of the United States?","The person shall be fined under this title, or imprisoned not more than five years, or both."
"What is considered an ""illegal gambling business"" under this section?","An ""illegal gambling business"" is a gambling business that meets three conditions:

1. It is a violation of the law of a State or political subdivision in which it is conducted.
2. It involves five or more persons who conduct, finance, manage, supervise, direct, or own all or part of such business.
3. It has been or remains in substantially continuous operation for a period in excess of thirty days or has a gross revenue of $2,000 in any single day."
What is the punishment for an offense under subsection (c) of 18 USC 1512?,"The punishment for an offense under subsection (c) of 18 USC 1512 is fines under this title or imprisonment not more than 20 years, or both."
What is the maximum term of imprisonment that may be imposed for an offense under subsection (c) if the retaliation occurred because of attendance at or testimony in a criminal case?,The maximum term of imprisonment which may be imposed for the offense under this section shall be the higher of that otherwise provided by law or the maximum term that could have been imposed for any offense charged in such case.
What is the maximum duration of effect for a protective order issued under 18 USC 1514?,"The maximum duration of effect for a protective order issued under 18 USC 1514 is three years from the date of such order's issuance. However, in the case of a minor victim or witness, the court may order that the protective order expires on the later of 3 years after the date of issuance or the date of the eighteenth birthday of that minor victim or witness."
What are the prohibited forms of retaliation against an employee of a publicly traded company who reports suspected fraud?,"The prohibited forms of retaliation against an employee of a publicly traded company who reports suspected fraud are:

* Discharge
* Demotion
* Suspension
* Threats
* Harassment
* Discrimination in the terms and conditions of employment"
"What is meant by the term ""official proceeding"" under 18 USC 1515?","According to subsection (a)(1) of 18 USC 1515, an ""official proceeding"" means:

(A) a proceeding before a judge or court of the United States, a United States magistrate judge, a bankruptcy judge, a judge of the United States Tax Court, a special trial judge of the Tax Court, a judge of the United States Court of Federal Claims, or a Federal grand jury;

(B) a proceeding before the Congress;

(C) a proceeding before a Federal Government agency which is authorized by law; or

(D) a proceeding involving the business of insurance whose activities affect interstate commerce before any insurance regulatory official or agency or any agent or examiner appointed by such official or agency to examine the affairs of any person engaged in the business of insurance whose activities affect interstate commerce."
"What is the maximum amount that can be received directly or indirectly from the United States in any one-year period under a contract or subcontract, grant, or cooperative agreement before this section applies?","The maximum amount that can be received directly or indirectly from the United States in any one-year period under a contract or subcontract, grant, or cooperative agreement before this section applies is $100,000."
What is the maximum length of imprisonment for someone who corruptly obstructs an examination of a financial institution?,The maximum length of imprisonment for someone who corruptly obstructs an examination of a financial institution is 5 years.
What is considered an obstruction of criminal investigations of health care offenses under 18 USC 1518?,"According to 18 USC 1518, an obstruction of criminal investigations of health care offenses includes willfully preventing, obstructing, misleading, delaying or attempting to prevent, obstruct, mislead, or delay the communication of information or records relating to a violation of a Federal health care offense."
"What is the maximum length of imprisonment for an individual who knowingly alters, destroys, mutilates, conceals, covers up, falsifies, or makes a false entry in any record?",The maximum length of imprisonment is 20 years.
What is the minimum time period that an accountant must maintain all audit or review workpapers after concluding an audit or review?,The minimum time period that an accountant must maintain all audit or review workpapers after concluding an audit or review is 5 years from the end of the fiscal period in which the audit or review was concluded.
